id,name,gameDesc
95,副属性変更・闇,ダンジョン潜入中、副属性が闇属性に変更される （ダメージは攻撃力の15％分）
96,2体攻撃＋,自分と同じ属性のドロップを4個消すと 攻撃力がかなりアップし、敵2体に攻撃をする (2体攻撃2個分の効果)
97,スキルチャージ＋,5属性同時攻撃すると 自分のスキルが2ターン溜まる
98,自動回復＋,ドロップを消したターン、 HPが2000回復する
99,火ドロップ強化＋,強化された火ドロップの出現率と ダメージがかなりアップする （火ドロップ強化2個分の効果）
100,水ドロップ強化＋,強化された水ドロップの出現率と ダメージがかなりアップする （水ドロップ強化2個分の効果）
101,木ドロップ強化＋,強化された木ドロップの出現率と ダメージがかなりアップする （木ドロップ強化2個分の効果）
102,光ドロップ強化＋,強化された光ドロップの出現率と ダメージがかなりアップする （光ドロップ強化2個分の効果）
103,闇ドロップ強化＋,強化された闇ドロップの出現率と ダメージがかなりアップする （闇ドロップ強化2個分の効果）
104,回復ドロップ強化＋,強化された回復ドロップの出現率と 回復力がかなりアップする 回復の4個消しで回復力がアップする (回復ドロップ強化2個分の効果)
105,スキルブーストマイナス,チーム全体のスキルが 1ターン減った状態で始まる
106,浮遊,自分自身への超重力効果を緩和する
107,コンボ強化＋,7コンボ以上で攻撃力がかなりアップする（コンボ強化2個分の効果）
108,L字消し攻撃＋,自分と同じ属性のドロップ5個をL字型に消すと攻撃力がかなりアップし、ロック状態を解除する（L字消し攻撃2個分の効果）
109,ダメージ無効貫通＋,自分と同じ属性のドロップを3×3の正方形で消すと攻撃力がアップ（12.25倍）し、ダメージ無効を貫通する（ダメージ無効貫通2個分の効果）
110,十字消し攻撃＋,自分と同じ属性のドロップ5個を十字型に消すと攻撃力がアップ（9倍）し、超暗闇目覚めを6ターン回復する（十字消し攻撃2個分の効果）
111,超コンボ強化＋,10コンボ以上で攻撃力がかなりアップ（5倍）する（超コンボ強化2個分の効果）
112,3色攻撃強化＋,3色以上同時攻撃で攻撃力がかなりアップ(6.25倍)する（3色攻撃強化2個分の効果）
113,4色攻撃強化＋,4色以上同時攻撃で攻撃力がかなりアップ(12.25倍)する（4色攻撃強化2個分の効果）
114,5色攻撃強化＋,5色同時攻撃で攻撃力ががかなりアップ(20.25倍)する（5色攻撃強化2個分の効果）
115,バインド回復＋,回復ドロップを横一列でそろえて消すとバインド状態が6ターン回復する（この覚醒スキルは覚醒無効の影響を受けない）（バインド回復2個分の効果）
116,火列強化×3,火ドロップを横一列でそろえて消すと火属性の攻撃力がアップする（60%）
117,水列強化×3,水ドロップを横一列でそろえて消すと水属性の攻撃力がアップする（60%）
118,木列強化×3,木ドロップを横一列でそろえて消すと木属性の攻撃力がアップする（60%）
119,光列強化×3,光ドロップを横一列でそろえて消すと光属性の攻撃力がアップする（60%）
120,闇列強化×3,闇ドロップを横一列でそろえて消すと闇属性の攻撃力がアップする（60%）
121,火コンボ強化＋,火ドロップで2コンボ以上すると、火属性の攻撃力がアップする（火コンボ強化2個分の効果）
122,水コンボ強化＋,水ドロップで2コンボ以上すると、水属性の攻撃力がアップする（水コンボ強化2個分の効果）
123,木コンボ強化＋,木ドロップで2コンボ以上すると、木属性の攻撃力がアップする（木コンボ強化2個分の効果）
124,光コンボ強化＋,光ドロップで2コンボ以上すると、光属性の攻撃力がアップする（光コンボ強化2個分の効果）
125,闇コンボ強化＋,闇ドロップで2コンボ以上すると、闇属性の攻撃力がアップする（闇コンボ強化2個分の効果）
126,T字消し攻撃,自分と同じ属性のドロップ5個をT字型に消すと攻撃力が4倍になり、ドロップ強化をした状態で攻撃する
127,全パラメータ強化,自分の全パラメータが1.5倍にアップする
128,陽の加護,陽の表示があるダンジョンフロアでHPと回復力が1.2倍、攻撃力は5倍になる
129,陰の加護,陰の表示があるダンジョンフロアでHPと回復力が1.2倍、攻撃力は5倍になる
